causality_pair,x_variable,y_variable,best_lag,f_statistic,p_value,significant,lag_1_f_stat,lag_1_p_value,lag_2_f_stat,lag_2_p_value,lag_3_f_stat,lag_3_p_value,lag_4_f_stat,lag_4_p_value,lag_5_f_stat,lag_5_p_value
net_flow_lag1 → net_flow,net_flow_lag1,net_flow,1,300.90011565028925,2.887274059315975e-64,True,300.90011565028925,2.887274059315975e-64,87.64882015302757,1.0518958287900951e-37,35.24277902636182,2.2582795286200703e-22,19.54327168602558,6.886758947966346e-16,13.685250823186712,3.1152494618083183e-13
whale_volume_lag1 → whale_volume_usd,whale_volume_lag1,whale_volume_usd,1,299.1032229917416,6.544508337673274e-64,True,299.1032229917416,6.544508337673274e-64,74.48430081938004,2.764526666772463e-32,27.93664850766397,8.26667086621575e-18,7.147750462022744,1.0048542263224967e-05,4.108509390364652,0.0010145580514667257
exchange_inflow → net_flow_lag1,exchange_inflow,net_flow_lag1,4,241.3477213542581,1.7604800867849517e-179,True,860.4745105397697,3.2118956636544116e-166,463.07746498942504,1.225765738806731e-175,312.56424372849216,3.4322125049948e-176,241.3477213542581,1.7604800867849517e-179,192.40054387971475,9.531896186528686e-178
exchange_outflow → net_flow_lag3,exchange_outflow,net_flow_lag3,5,233.8600073024095,1.0480267626352586e-210,True,4.450584541584262,0.03497321012206131,225.0695440880025,1.066049453930334e-91,368.1321963092755,4.688310616556319e-203,288.49271432473773,1.524181158480685e-209,233.8600073024095,1.0480267626352586e-210
exchange_inflow → net_flow_lag3,exchange_inflow,net_flow_lag3,5,196.93751396682327,1.9461382303001135e-181,True,0.1005862319920983,0.7511496767945086,243.5907431108608,1.2201915838368444e-98,289.04052448917713,1.801976891216349e-164,238.85269829844447,7.524033973590718e-178,196.93751396682327,1.9461382303001135e-181
exchange_outflow → whale_volume_lag1,exchange_outflow,whale_volume_lag1,4,149.5129258003277,1.468619589959093e-116,True,429.9479651589194,2.826334844348789e-89,261.24740197893357,3.454389557650361e-105,188.4839184882411,8.17536307939947e-112,149.5129258003277,1.468619589959093e-116,119.94195091615735,9.009225266549289e-116
net_flow_lag3 → net_flow_lag1,net_flow_lag3,net_flow_lag1,2,143.95585758488724,2.2165691049599563e-60,True,0.1528173686117228,0.6958855801950443,143.95585758488724,2.2165691049599563e-60,62.06987756322695,6.553008303212593e-39,37.00520190420947,3.1116016305364164e-30,23.76290818203494,1.6960280298568462e-23
exchange_outflow → net_flow_lag6,exchange_outflow,net_flow_lag6,5,138.8908166950971,1.4707057005790863e-132,True,0.9799967636330097,0.3222806837773504,0.43457941204640177,0.6475783905724937,2.1555025827895804,0.09123252500539743,1.7997217486946466,0.126056362001687,138.8908166950971,1.4707057005790863e-132
exchange_inflow → net_flow_lag6,exchange_inflow,net_flow_lag6,5,134.6852210335363,7.181578158116947e-129,True,3.10674890854082,0.07807184495492336,1.2833891825471877,0.27725119007350885,0.6592339883714822,0.5771160444355925,0.45799109533992766,0.7666198163801929,134.6852210335363,7.181578158116947e-129
exchange_inflow → whale_volume_lag1,exchange_inflow,whale_volume_lag1,5,121.59952408384541,2.943558169817259e-117,True,411.2503184090354,1.0321394659174326e-85,253.11136845385437,3.5265345803253004e-102,159.53599104142276,8.009836416927036e-96,147.07756208492611,8.35006379284947e-115,121.59952408384541,2.943558169817259e-117
whale_volume_lag3 → whale_volume_lag1,whale_volume_lag3,whale_volume_lag1,2,118.55281607375791,2.9996185823058297e-50,True,1.3020664279437586,0.253928607870072,118.55281607375791,2.9996185823058297e-50,37.60600622263614,7.633942389860319e-24,12.269345869710648,6.777271158670235e-10,11.015936508022467,1.5786080679131884e-10
